"external_id","ingredient_id","name_ar","name_en","quantity","unit","nutrition_reference"
"MEAL-061","MEAL-061-ING-01","لبنة","labneh","150","g","USDA FoodData Central generic food; edible portion; preparation state as named"
"MEAL-061","MEAL-061-ING-02","خيار","cucumber","100","g","USDA FoodData Central generic food; edible portion; preparation state as named"
"MEAL-061","MEAL-061-ING-03","خبز عربي بالقمح الكامل","whole-wheat pita","60","g","USDA FoodData Central generic food; edible portion; preparation state as named"
"MEAL-061","MEAL-061-ING-04","زيت زيتون","olive oil","8","g","USDA FoodData Central generic food; edible portion; preparation state as named"
"MEAL-061","MEAL-061-ING-05","نعناع","mint","5","g","USDA FoodData Central generic food; edible portion; preparation state as named"
"MEAL-062","MEAL-062-ING-01","حبوب حنطة سوداء جافة","buckwheat groats, dry","50","g","USDA FoodData Central generic food; edible portion; preparation state as named"
"MEAL-062","MEAL-062-ING-02","حليب قليل الدسم","low-fat milk","200","ml","USDA FoodData Central generic food; edible portion; preparation state as named"
"MEAL-062","MEAL-062-ING-03","كمثرى","pear","120","g","USDA FoodData Central generic food; edible portion; preparation state as named"
"MEAL-062","MEAL-062-ING-04","بذور يقطين","pumpkin seeds","15","g","USDA FoodData Central generic food; edible portion; preparation state as named"
"MEAL-063","MEAL-063-ING-01","خبز شيلم","rye bread","70","g","USDA FoodData Central generic food; edible portion; preparation state as named"
"MEAL-063","MEAL-063-ING-02","سلمون مدخن","smoked salmon","80","g","USDA FoodData Central generic food; edible portion; preparation state as named"
"MEAL-063","MEAL-063-ING-03","خيار","cucumber","80","g","USDA FoodData Central generic food; edible portion; preparation state as named"
"MEAL-063","MEAL-063-ING-04","زيت زيتون","olive oil","5","g","USDA FoodData Central generic food; edible portion; preparation state as named"
"MEAL-064","MEAL-064-ING-01","بيض كامل","whole egg","100","g","USDA FoodData Central generic food; edible portion; preparation state as named"
"MEAL-064","MEAL-064-ING-02","بياض بيض","egg whites","100","g","USDA FoodData Central generic food; edible portion; preparation state as named"
"MEAL-064","MEAL-064-ING-03","فلفل رومي","bell pepper","120","g","USDA FoodData Central generic food; edible portion; preparation state as named"
